,all time,Step,Value
0,1716780641.774894,4000,-53.09638214111328
1,1716780846.320658,8000,-54.6306266784668
2,1716781049.522832,12000,-52.17453384399414
3,1716781250.1062312,16000,-52.19806671142578
4,1716781452.4553792,20000,-52.52276611328125
5,1716781661.744444,24000,-52.693695068359375
6,1716781865.5496476,28000,-53.02018737792969
7,1716782071.246736,32000,-52.46116256713867
8,1716782272.5993352,36000,-53.211402893066406
9,1716782485.0586014,40000,-53.62276840209961
10,1716782706.275458,44000,-53.832916259765625
11,1716782923.8990772,48000,-53.78021240234375
12,1716783146.7373435,52000,-53.37946701049805
13,1716783352.6531692,56000,-53.09345245361328
14,1716783557.2870057,60000,-52.72602081298828
15,1716783760.668992,64000,-52.3944206237793
16,1716783966.595341,68000,-52.36921310424805
17,1716784171.836396,72000,-51.859622955322266
18,1716784376.2408288,76000,-51.05584335327149
19,1716784583.8031995,80000,-50.597049713134766
20,1716784787.8332944,84000,-50.90700149536133
21,1716784994.8741117,88000,-50.83286666870117
22,1716785200.5609066,92000,-50.592044830322266
23,1716785409.688794,96000,-50.46984100341797
24,1716785621.12315,100000,-49.7609748840332
25,1716785833.6537514,104000,-48.86604309082031
26,1716786044.01272,108000,-47.79043960571289
27,1716786263.4147742,112000,-47.60454177856445
28,1716786486.174366,116000,-46.95366668701172
29,1716786709.0185013,120000,-46.10607147216797
30,1716786929.074358,124000,-46.0073356628418
31,1716787147.4103065,128000,-45.27156829833984
32,1716787361.0659924,132000,-44.70420455932617
33,1716787580.051005,136000,-43.55107879638672
34,1716787795.5072424,140000,-42.043453216552734
35,1716788016.143217,144000,-40.66738128662109
36,1716788241.7163117,148000,-40.193359375
37,1716788466.805273,152000,-39.245826721191406
38,1716788686.3938518,156000,-38.489479064941406
39,1716788913.6850033,160000,-37.92549514770508
40,1716789137.5216603,164000,-37.07163238525391
41,1716789363.1341414,168000,-37.16983413696289
42,1716789592.7578278,172000,-36.12362289428711
43,1716789827.1104105,176000,-36.14506149291992
44,1716790017.4683266,179310,-34.4693489074707
45,1716790175.7493043,182066,-33.856483459472656
46,1716790325.4077084,184625,-34.04815673828125
47,1716790467.5663085,186982,-34.002254486083984
48,1716790638.5259626,189896,-33.76941680908203
49,1716790839.3061242,193324,-34.68408203125
50,1716790997.9980602,196005,-35.033355712890625
51,1716791127.8288798,198234,-35.90299987792969
52,1716791359.360602,202053,-35.685569763183594
53,1716791493.6270506,204348,-35.5876579284668
54,1716791617.6259725,206464,-37.45580673217773
55,1716791721.0000472,208176,-37.69745635986328
56,1716791877.8350391,210754,-38.59547424316406
57,1716792038.2560146,213203,-39.6669921875
58,1716792207.9229355,215964,-40.00830078125
59,1716792380.993179,218775,-41.95629501342773
60,1716792551.1734166,221565,-44.15489959716797
61,1716792678.0126677,223642,-45.74861526489258
62,1716792851.3136022,226477,-47.808048248291016
63,1716792984.7755444,228606,-49.60284423828125
64,1716793150.0575178,231221,-50.5775260925293
65,1716793279.590284,233266,-51.919395446777344
66,1716793415.187222,235372,-53.19133377075195
67,1716793517.160085,236962,-55.10125732421875
68,1716793689.9346638,239658,-56.36977767944336
69,1716793852.660172,242102,-59.97720336914063
70,1716794023.9012246,244615,-61.37499237060547
71,1716794251.254238,247964,-61.781497955322266
72,1716794476.4940052,251227,-61.82149887084961
73,1716794655.3029974,253781,-63.278717041015625
74,1716794873.838354,256892,-63.40640640258789
75,1716795017.879044,258926,-65.12589263916016
76,1716795233.835898,261998,-65.5110855102539
77,1716795467.1788704,265278,-67.2973861694336
