Wall time,Step,Value
1716631450.361033,1024,-47.3684196472168
1716631475.4474304,2048,-41.23583221435547
1716631501.264984,3072,-40.98262023925781
1716631526.2868657,4096,-29.675188064575195
1716631551.675506,5120,-22.289045333862305
1716631576.8032749,6144,-22.05521774291992
1716631602.2243333,7168,-24.75927352905273
1716631627.7009192,8192,-23.38850212097168
1716631652.762614,9216,-23.3538818359375
1716631678.3197896,10240,-23.597999572753903
1716631704.4042585,11264,-26.46438217163086
1716631729.9012396,12288,-27.1325798034668
1716631756.312175,13312,-27.945051193237305
1716631775.119238,14336,-29.56193351745605
1716631794.6692753,15360,-29.1474666595459
1716631813.8856072,16384,-29.82969284057617
1716631832.548684,17408,-30.168724060058597
1716631851.1055489,18432,-30.489521026611328
1716631870.3874855,19456,-29.09394073486328
1716631889.5840726,20480,-29.76568031311035
1716631908.4550376,21504,-35.5953254699707
1716631927.6432216,22528,-33.55121994018555
1716631947.580099,23552,-35.896820068359375
1716631967.3821132,24576,-37.84440612792969
1716631987.0083776,25600,-39.81781005859375
1716632006.79394,26624,-41.62139129638672
1716632026.7294128,27648,-43.29137802124024
1716632046.5742908,28672,-44.8744010925293
1716632066.345461,29696,-46.29965972900391
1716632086.0373363,30720,-47.57842254638672
1716632109.120961,31744,-48.83204650878906
1716632131.5548823,32768,-50.01713562011719
1716632150.721676,33792,-51.09731674194336
1716632170.3533654,34816,-52.10626220703125
1716632190.57336,35840,-53.996280670166016
1716632210.7632902,36864,-54.90901947021485
1716632229.9772944,37888,-55.70576095581055
1716632249.7617986,38912,-56.50523376464844
1716632269.191965,39936,-57.25926971435547
1716632289.473449,40960,-57.98394012451172
1716632308.9036813,41984,-58.40156936645508
1716632328.1928627,43008,-58.920021057128906
1716632347.606635,44032,-59.4835090637207
1716632367.1468918,45056,-60.06181335449219
1716632386.3211954,46080,-60.57798385620117
1716632406.1510231,47104,-61.13862609863281
1716632425.6255713,48128,-61.69647216796875
1716632445.1856208,49152,-62.18024826049805
1716632464.6547391,50176,-62.630130767822266
1716632484.7001095,51200,-63.10230255126953
1716632504.3023143,52224,-63.53113555908203
1716632523.897255,53248,-63.97014236450195
1716632543.4897804,54272,-64.39686584472656
1716632563.1580286,55296,-64.76660919189453
1716632582.9654057,56320,-65.12210083007812
1716632602.581983,57344,-65.49284362792969
1716632622.1683426,58368,-65.82949829101562
1716632642.0060236,59392,-66.19205474853516
1716632661.4220965,60416,-66.50489807128906
1716632680.8643303,61440,-66.8309555053711
1716632700.6131103,62464,-67.15715026855469
1716632720.315296,63488,-67.4625015258789
1716632739.7360215,64512,-67.75538635253906
1716632759.2528636,65536,-68.02848815917969
1716632778.5591512,66560,-68.31222534179688
1716632798.108781,67584,-68.56324005126953
1716632818.026083,68608,-68.76387023925781
1716632837.376332,69632,-68.96051788330078
1716632856.3872197,70656,-69.20552062988281
1716632876.28124,71680,-69.43946838378906
1716632895.793974,72704,-69.60861206054688
1716632915.5891745,73728,-69.80609893798828
1716632934.831056,74752,-69.97869873046875
1716632954.979846,75776,-70.19819641113281
1716632974.3774254,76800,-70.3814697265625
1716632993.7028828,77824,-70.70848083496094
1716633013.0852354,78848,-70.85159301757812
1716633032.967864,79872,-71.04702758789062
1716633052.372067,80896,-71.18000793457031
1716633071.8345125,81920,-71.32685089111328
1716633091.803935,82944,-71.46530151367188
1716633111.2851622,83968,-71.59317016601562
1716633131.2368262,84992,-71.7779769897461
1716633188.168522,86016,-71.94002532958984
1716633252.8326535,87040,-72.05203247070312
1716633318.1660976,88064,-72.20552825927734
1716633383.4574444,89088,-72.33302307128906
1716633448.3955162,90112,-72.4970703125
1716633536.3613155,91136,-72.61241149902344
1716633625.0760856,92160,-72.77163696289062
1716633712.063439,93184,-72.89898681640625
1716633797.8094568,94208,-73.04106140136719
1716633883.1370049,95232,-73.1355209350586
1716633968.0258496,96256,-73.24459075927734
1716634053.6446288,97280,-73.39275360107422
1716634139.3998213,98304,-73.48892974853516
1716634220.6537485,99328,-73.60926055908203
1716634288.0053322,100352,-73.69459533691406
1716634353.2888129,101376,-74.06846618652344
1716634418.6229382,102400,-74.5450210571289
1716634484.1084666,103424,-74.97190856933594
1716634550.5669558,104448,-75.82781219482422
1716634614.7669766,105472,-76.7450942993164
1716634679.9367876,106496,-77.3354263305664
1716634745.9314015,107520,-77.76057434082031
1716634812.1049037,108544,-78.45372772216797
1716634877.455008,109568,-79.0573959350586
1716634943.327955,110592,-79.65658569335938
1716635024.027846,111616,-79.96395874023438
1716635111.0595255,112640,-80.46239471435547
1716635197.6777463,113664,-80.92518615722656
1716635284.098968,114688,-81.29629516601562
1716635370.3009925,115712,-81.90947723388672
1716635456.258006,116736,-82.34858703613281
1716635541.585383,117760,-82.82083129882812
1716635615.4079933,118784,-83.27413940429688
1716635680.441803,119808,-84.05125427246094
1716635745.403656,120832,-83.77705383300781
1716635813.2271972,121856,-84.75210571289062
1716635879.5552697,122880,-84.70819091796875
1716635944.5433252,123904,-84.73419952392578
1716636010.2440214,124928,-84.68634796142578
1716636083.721423,125952,-84.6822509765625
1716636149.4498055,126976,-84.63908386230469
1716636215.8657274,128000,-84.63047790527344
1716636296.6760862,129024,-84.6295166015625
