Wall time,Step,Value
1716643285.8633287,1024,-59.247650146484375
1716643337.1700332,2048,-54.064720153808594
1716643381.908868,3072,-48.624210357666016
1716643428.257219,4096,-44.32014465332031
1716643475.5896928,5120,-46.987060546875
1716643522.0159526,6144,-46.74135208129883
1716643570.2829232,7168,-44.66450119018555
1716643614.5896685,8192,-43.30937957763672
1716643662.550061,9216,-41.33793258666992
1716643707.445899,10240,-39.38654708862305
1716643753.3214898,11264,-37.46965026855469
1716643797.8731802,12288,-37.198055267333984
1716643847.9597397,13312,-35.69413375854492
1716643893.0656726,14336,-32.505306243896484
1716643940.2541568,15360,-29.057933807373047
1716643986.5472696,16384,-26.79538345336914
1716644032.522387,17408,-29.330930709838867
1716644078.1502173,18432,-30.377586364746094
1716644124.877266,19456,-32.87233352661133
1716644174.352138,20480,-35.22871780395508
1716644222.9682512,21504,-41.282020568847656
1716644268.9150715,22528,-40.2655143737793
1716644315.5739782,23552,-39.1195068359375
1716644360.903404,24576,-39.19717788696289
1716644406.5416532,25600,-40.39641189575195
1716644452.807347,26624,-41.33457946777344
1716644502.7019005,27648,-39.80366897583008
1716644551.8299818,28672,-38.79419708251953
1716644599.4314888,29696,-40.034515380859375
1716644647.352714,30720,-39.9281005859375
1716644696.378508,31744,-38.94356918334961
1716644744.3073096,32768,-39.70191955566406
1716644790.7452323,33792,-39.387577056884766
1716644835.6547022,34816,-39.65715026855469
1716644883.9356463,35840,-38.37371063232422
1716644929.0873342,36864,-40.12491226196289
1716644974.9225008,37888,-41.25605010986328
1716645020.0768938,38912,-42.33848571777344
1716645067.7907224,39936,-45.22028350830078
1716645112.3571582,40960,-44.95409393310547
1716645159.7561183,41984,-45.25766372680664
1716645208.3228066,43008,-44.8050422668457
1716645256.9465988,44032,-45.37076950073242
1716645304.2567146,45056,-45.72403335571289
1716645354.4199266,46080,-46.26871109008789
1716645400.7627394,47104,-47.03535079956055
1716645446.3937397,48128,-47.630653381347656
1716645495.8560574,49152,-47.26125717163086
1716645542.9658146,50176,-47.10797500610352
1716645588.023764,51200,-47.11982727050781
1716645634.2207806,52224,-47.75968170166016
1716645682.1411288,53248,-48.22604751586914
1716645728.075497,54272,-48.1560173034668
1716645773.8278809,55296,-47.74090194702149
1716645824.8337133,56320,-48.38608169555664
1716645873.4293392,57344,-48.13870620727539
1716645920.2044587,58368,-48.3942985534668
1716645966.7489069,59392,-48.73597717285156
1716646013.2800615,60416,-49.04492568969727
1716646061.2990124,61440,-48.72111892700195
1716646109.9832835,62464,-48.49248123168945
1716646157.585224,63488,-48.61777877807617
1716646207.5052276,64512,-48.59006118774414
1716646252.9288309,65536,-48.54372787475586
1716646299.4588656,66560,-47.1514778137207
1716646345.7001083,67584,-47.1007080078125
1716646391.371451,68608,-47.2967529296875
1716646436.3166845,69632,-46.94426345825195
1716646481.4346366,70656,-47.36721420288086
1716646529.7877495,71680,-47.8204460144043
1716646574.5966277,72704,-48.27009963989258
1716646620.935397,73728,-48.22392272949219
1716646667.8020134,74752,-47.49677276611328
1716646713.7921,75776,-47.51182174682617
1716646759.075917,76800,-47.004844665527344
1716646803.2590077,77824,-47.32185363769531
1716646849.6916473,78848,-47.55624008178711
1716646896.159092,79872,-46.9654541015625
1716646941.2189634,80896,-46.82218933105469
1716646987.471522,81920,-46.05163192749024
1716647033.9207735,82944,-45.85612487792969
1716647079.5473137,83968,-45.62350082397461
1716647125.225539,84992,-45.79771423339844
1716647171.0653734,86016,-45.61198043823242
1716647217.7057393,87040,-46.05113983154297
1716647264.2703066,88064,-46.22431182861328
1716647312.081235,89088,-46.187442779541016
1716647358.3709066,90112,-46.0567626953125
1716647404.3156042,91136,-45.77740097045898
1716647450.449808,92160,-45.61715316772461
1716647497.4082286,93184,-45.499122619628906
1716647543.6192029,94208,-45.67805862426758
1716647591.0467403,95232,-45.095821380615234
1716647637.4958675,96256,-44.34012222290039
1716647683.7371423,97280,-44.47944641113281
1716647730.383601,98304,-44.10655975341797
1716647777.678995,99328,-43.20722579956055
1716647824.3077476,100352,-43.34504699707031
1716647872.3318992,101376,-42.252567291259766
1716647920.872896,102400,-41.394927978515625
1716647967.291889,103424,-41.4879035949707
1716648014.442614,104448,-41.99396514892578
1716648060.6066947,105472,-41.80451583862305
1716648106.7120388,106496,-40.87456893920898
1716648153.5435164,107520,-40.355350494384766
1716648199.70865,108544,-39.98140335083008
1716648245.4223282,109568,-39.945068359375
1716648293.464225,110592,-39.2413215637207
1716648341.419453,111616,-38.93681716918945
1716648391.1002054,112640,-38.40250015258789
1716648437.9720783,113664,-38.82532501220703
